sim_id,seed,winner,end_reason,end_turn,france_nodes,allies_nodes,neutral_nodes,france_troops_total,allies_troops_total
34,10034,Allies,turn_limit,312,112,118,0,31163,102764
35,10035,Allies,turn_limit,312,110,120,0,34352,100734
36,10036,France,turn_limit,312,132,98,0,8960,55944
37,10037,Allies,turn_limit,312,90,140,0,20408,157181
38,10038,Allies,turn_limit,312,94,136,0,6589,132988
39,10039,Allies,turn_limit,312,84,146,0,29219,86189
40,10040,Allies,turn_limit,312,105,125,0,23101,67749
41,10041,France,turn_limit,312,133,97,0,45271,45494
42,10042,France,turn_limit,312,127,103,0,28244,14617
43,10043,Allies,turn_limit,312,111,119,0,21607,39379
44,10044,France,turn_limit,312,117,113,0,33059,27082
45,10045,France,turn_limit,312,143,87,0,41896,85504
46,10046,France,turn_limit,312,117,113,0,26951,104381
47,10047,France,turn_limit,312,126,104,0,16420,62963
48,10048,Allies,turn_limit,312,103,127,0,10864,48285
49,10049,France,turn_limit,312,143,87,0,13267,98567
50,10050,Allies,turn_limit,312,55,175,0,13977,162902
51,10051,France,turn_limit,312,159,71,0,31180,2448
52,10052,Allies,turn_limit,312,114,116,0,10372,164620
53,10053,France,turn_limit,312,140,90,0,18624,67183
54,10054,Allies,turn_limit,312,101,129,0,23070,74730
55,10055,Allies,turn_limit,312,107,123,0,39863,59017
56,10056,France,turn_limit,312,162,68,0,22901,38498
57,10057,France,turn_limit,312,128,102,0,30658,64531
58,10058,Allies,turn_limit,312,104,126,0,26951,102950
59,10059,France,turn_limit,312,146,84,0,12468,82868
60,10060,France,turn_limit,312,132,98,0,12404,72025
61,10061,Allies,turn_limit,312,82,148,0,39389,150923
62,10062,France,turn_limit,312,121,109,0,29119,75857
63,10063,France,turn_limit,312,135,95,0,25885,62830
64,10064,France,turn_limit,312,117,113,0,24713,66572
65,10065,France,turn_limit,312,130,100,0,16412,92740
66,10066,France,turn_limit,312,140,90,0,36300,31566
67,10067,France,turn_limit,312,121,109,0,32238,72254
68,10068,France,turn_limit,312,131,99,0,40731,98343
69,10069,France,turn_limit,312,132,98,0,12574,106970
70,10070,Allies,turn_limit,312,90,140,0,26573,189034
71,10071,Allies,turn_limit,312,87,143,0,38301,50732
72,10072,Allies,turn_limit,312,114,116,0,15415,77330
73,10073,Allies,turn_limit,312,94,136,0,3574,93899
74,10074,Allies,turn_limit,312,114,116,0,39164,139413
75,10075,Allies,turn_limit,312,107,123,0,13501,170024
76,10076,Allies,turn_limit,312,109,121,0,12276,140625
77,10077,Allies,turn_limit,312,94,136,0,17340,136113
78,10078,France,turn_limit,312,154,76,0,20461,52204
79,10079,France,turn_limit,312,137,93,0,33805,66323
80,10080,France,turn_limit,312,170,60,0,29172,9239
81,10081,Draw,turn_limit,312,115,115,0,50966,78482
82,10082,France,turn_limit,312,128,102,0,20570,5591
83,10083,France,turn_limit,312,138,92,0,23329,76582
84,10084,France,turn_limit,312,136,94,0,15697,31928
85,10085,Allies,turn_limit,312,84,146,0,1048,97299
86,10086,France,turn_limit,312,134,96,0,30032,94860
87,10087,Allies,turn_limit,312,96,134,0,34553,78307
88,10088,France,turn_limit,312,131,99,0,34066,38556
89,10089,Allies,turn_limit,312,101,129,0,19440,127841
90,10090,France,allies_eliminated,261,155,75,0,69229,0
91,10091,Allies,turn_limit,312,89,141,0,37787,147212
92,10092,Allies,turn_limit,312,108,122,0,12352,144797
93,10093,France,turn_limit,312,117,113,0,14671,75913
94,10094,Allies,turn_limit,312,108,122,0,20532,133842
95,10095,Allies,turn_limit,312,112,118,0,48358,94596
96,10096,Allies,turn_limit,312,81,149,0,25721,154240
97,10097,Allies,turn_limit,312,101,129,0,2504,87409
98,10098,France,turn_limit,312,129,101,0,41101,42166
99,10099,Allies,turn_limit,312,105,125,0,2302,91172
100,10100,France,turn_limit,312,139,91,0,27099,73395
101,10101,Allies,turn_limit,312,67,163,0,9124,118900
102,10102,Allies,turn_limit,312,114,116,0,41270,50061
103,10103,Allies,turn_limit,312,108,122,0,24298,175319
104,10104,Allies,turn_limit,312,90,140,0,12879,168706
105,10105,Allies,turn_limit,312,89,141,0,31717,160417
106,10106,Allies,turn_limit,312,110,120,0,5413,119662
107,10107,Allies,turn_limit,312,113,117,0,11633,142144
108,10108,France,turn_limit,312,121,109,0,42633,151848
109,10109,Allies,turn_limit,312,99,131,0,2594,167221
110,10110,Allies,turn_limit,312,103,127,0,2835,147737
111,10111,France,turn_limit,312,123,107,0,10086,105999
112,10112,Allies,turn_limit,312,105,125,0,16280,65411
113,10113,Allies,turn_limit,312,97,133,0,18337,149356
114,10114,Allies,turn_limit,312,99,131,0,21444,76045
115,10115,France,turn_limit,312,170,60,0,65074,337
116,10116,Allies,turn_limit,312,104,126,0,11748,129639
117,10117,France,turn_limit,312,145,85,0,40839,3937
118,10118,Allies,turn_limit,312,112,118,0,4625,74642
119,10119,France,turn_limit,312,134,96,0,11244,91332
120,10120,France,turn_limit,312,140,90,0,8879,106221
121,10121,France,turn_limit,312,137,93,0,39780,65678
122,10122,Allies,turn_limit,312,85,145,0,9198,133189
123,10123,Allies,turn_limit,312,79,151,0,31769,112754
124,10124,France,turn_limit,312,132,98,0,29561,34368
125,10125,France,turn_limit,312,122,108,0,25268,65268
126,10126,France,turn_limit,312,124,106,0,13335,142014
127,10127,Allies,turn_limit,312,112,118,0,19707,29262
128,10128,Allies,turn_limit,312,114,116,0,17006,160288
129,10129,Allies,turn_limit,312,106,124,0,33508,92134
130,10130,Allies,turn_limit,312,110,120,0,23787,126689
131,10131,Allies,turn_limit,312,82,148,0,4925,147941
132,10132,Allies,turn_limit,312,98,132,0,31747,142071
133,10133,France,turn_limit,312,117,113,0,12612,115600
134,10134,Allies,turn_limit,312,96,134,0,29278,103972
135,10135,Allies,turn_limit,312,101,129,0,29504,96525
136,10136,Allies,turn_limit,312,90,140,0,1593,171612
137,10137,France,turn_limit,312,119,111,0,4849,185855
138,10138,France,turn_limit,312,122,108,0,43605,143661
139,10139,France,turn_limit,312,145,85,0,12042,52787
140,10140,France,turn_limit,312,123,107,0,26380,127245
141,10141,France,turn_limit,312,149,81,0,9041,91466
142,10142,France,turn_limit,312,117,113,0,13926,86788
143,10143,Allies,turn_limit,312,111,119,0,4252,65218
144,10144,Allies,turn_limit,312,114,116,0,23371,179080
145,10145,France,turn_limit,312,123,107,0,28676,111255
146,10146,France,turn_limit,312,119,111,0,9186,100394
147,10147,France,turn_limit,312,131,99,0,19531,131554
148,10148,France,turn_limit,312,120,110,0,27508,113629
149,10149,France,turn_limit,312,143,87,0,2860,113361
150,10150,Allies,turn_limit,312,108,122,0,29401,41208
151,10151,France,turn_limit,312,128,102,0,9481,92632
152,10152,Allies,turn_limit,312,85,145,0,21601,119893
153,10153,France,turn_limit,312,124,106,0,23072,154631
154,10154,Allies,turn_limit,312,105,125,0,3883,111483
155,10155,Allies,turn_limit,312,112,118,0,30466,71461
156,10156,Allies,turn_limit,312,100,130,0,17371,120976
157,10157,France,turn_limit,312,124,106,0,39551,66781
158,10158,France,turn_limit,312,144,86,0,7148,85451
159,10159,France,turn_limit,312,147,83,0,12524,24761
160,10160,France,turn_limit,312,121,109,0,13393,75157
161,10161,Allies,turn_limit,312,114,116,0,11408,125658
162,10162,France,turn_limit,312,157,73,0,34856,59015
163,10163,France,turn_limit,312,138,92,0,7932,22447
164,10164,France,turn_limit,312,165,65,0,27141,7850
165,10165,Allies,turn_limit,312,95,135,0,8236,81262
166,10166,France,turn_limit,312,126,104,0,28615,48604
167,10167,Allies,turn_limit,312,96,134,0,25592,55917
168,10168,Allies,turn_limit,312,99,131,0,19329,147889
169,10169,Allies,turn_limit,312,87,143,0,16441,158944
170,10170,Allies,turn_limit,312,88,142,0,4364,76162
171,10171,Allies,turn_limit,312,92,138,0,12641,150143
172,10172,France,turn_limit,312,141,89,0,17228,35233
173,10173,Allies,turn_limit,312,96,134,0,18147,116146
174,10174,Allies,turn_limit,312,71,159,0,1769,91840
175,10175,Allies,turn_limit,312,80,150,0,10817,112118
176,10176,Allies,turn_limit,312,87,143,0,10678,143551
177,10177,France,turn_limit,312,150,80,0,27423,16634
178,10178,France,turn_limit,312,152,78,0,44800,40190
179,10179,France,turn_limit,312,125,105,0,30080,29182
180,10180,Allies,turn_limit,312,76,154,0,44200,164804
181,10181,France,turn_limit,312,129,101,0,12927,92231
182,10182,Allies,turn_limit,312,95,135,0,15108,110185
183,10183,Allies,turn_limit,312,113,117,0,8807,81453
184,10184,Draw,turn_limit,312,115,115,0,9471,99706
185,10185,Allies,turn_limit,312,103,127,0,21483,142308
186,10186,Allies,turn_limit,312,101,129,0,6201,51349
187,10187,France,turn_limit,312,121,109,0,39975,137054
188,10188,France,turn_limit,312,126,104,0,3124,87164
189,10189,France,turn_limit,312,119,111,0,24227,63113
190,10190,France,turn_limit,312,123,107,0,41120,78097
191,10191,Allies,turn_limit,312,113,117,0,20239,74219
192,10192,France,turn_limit,312,123,107,0,12993,73984
193,10193,France,turn_limit,312,120,110,0,16897,82895
194,10194,Allies,turn_limit,312,110,120,0,42675,149629
195,10195,Allies,turn_limit,312,94,136,0,16833,77433
196,10196,Allies,turn_limit,312,100,130,0,18256,79725
197,10197,Allies,turn_limit,312,76,154,0,15591,147890
198,10198,France,turn_limit,312,131,99,0,3046,103686
199,10199,France,turn_limit,312,117,113,0,13205,123876
200,10200,France,turn_limit,312,124,106,0,24593,50514
201,10201,Allies,turn_limit,312,83,147,0,10785,148485
202,10202,France,turn_limit,312,169,61,0,21630,32737
203,10203,France,turn_limit,312,130,100,0,27300,73436
204,10204,France,turn_limit,312,138,92,0,18340,81753
205,10205,France,turn_limit,312,135,95,0,10256,63704
206,10206,Allies,turn_limit,312,102,128,0,4504,161815
207,10207,France,turn_limit,312,176,54,0,37570,29947
208,10208,France,turn_limit,312,152,78,0,47759,3568
209,10209,Allies,turn_limit,312,107,123,0,14135,112158
210,10210,France,turn_limit,312,129,101,0,29244,86990
211,10211,Allies,turn_limit,312,107,123,0,27420,84217
212,10212,France,turn_limit,312,120,110,0,18085,109626
213,10213,France,turn_limit,312,122,108,0,29125,70689
214,10214,France,turn_limit,312,130,100,0,4795,79412
215,10215,France,turn_limit,312,132,98,0,21178,65916
216,10216,France,turn_limit,312,124,106,0,3974,64234
217,10217,France,turn_limit,312,128,102,0,40542,145343
218,10218,France,turn_limit,312,124,106,0,19156,89691
219,10219,France,turn_limit,312,141,89,0,36256,9021
220,10220,Allies,turn_limit,312,89,141,0,48972,126558
221,10221,France,turn_limit,312,134,96,0,11656,61882
222,10222,France,turn_limit,312,147,83,0,26552,44922
223,10223,France,turn_limit,312,121,109,0,16808,93971
224,10224,Allies,turn_limit,312,88,142,0,29879,134406
225,10225,France,turn_limit,312,127,103,0,32535,64452
226,10226,France,turn_limit,312,130,100,0,23321,77941
227,10227,Allies,turn_limit,312,105,125,0,8548,185902
228,10228,Allies,turn_limit,312,109,121,0,45729,54876
229,10229,Allies,turn_limit,312,94,136,0,9074,130570
230,10230,France,turn_limit,312,139,91,0,27969,71389
231,10231,Allies,turn_limit,312,107,123,0,22735,111518
232,10232,France,turn_limit,312,140,90,0,47135,35137
233,10233,France,allies_eliminated,294,168,62,0,32920,0
234,10234,Allies,turn_limit,312,87,143,0,11041,119546
235,10235,Allies,turn_limit,312,107,123,0,28002,54774
236,10236,Allies,turn_limit,312,76,154,0,8050,128763
237,10237,Allies,turn_limit,312,110,120,0,19307,72779
238,10238,France,turn_limit,312,123,107,0,15742,92541
239,10239,France,turn_limit,312,127,103,0,31195,98887
240,10240,France,turn_limit,312,122,108,0,25149,110063
241,10241,Allies,turn_limit,312,98,132,0,49173,119450
242,10242,Allies,turn_limit,312,79,151,0,82655,91754
243,10243,France,turn_limit,312,136,94,0,34349,28195
244,10244,France,turn_limit,312,161,69,0,27349,12472
245,10245,France,turn_limit,312,131,99,0,50821,87861
246,10246,France,turn_limit,312,187,43,0,37397,656
247,10247,Allies,turn_limit,312,87,143,0,807,167972
248,10248,France,turn_limit,312,120,110,0,16194,85501
249,10249,France,turn_limit,312,129,101,0,29912,65828
250,10250,Draw,turn_limit,312,115,115,0,31557,72884
251,10251,Allies,turn_limit,312,84,146,0,27120,197469
252,10252,Allies,turn_limit,312,114,116,0,14466,137528
253,10253,France,turn_limit,312,151,79,0,10268,73874
254,10254,Allies,turn_limit,312,102,128,0,11579,148502
255,10255,France,turn_limit,312,135,95,0,26411,48287
256,10256,Allies,turn_limit,312,107,123,0,10299,90916
257,10257,Allies,turn_limit,312,99,131,0,1702,134273
258,10258,France,turn_limit,312,154,76,0,42282,2832
259,10259,Allies,turn_limit,312,104,126,0,23458,67471
260,10260,Allies,turn_limit,312,112,118,0,1101,107122
261,10261,France,turn_limit,312,121,109,0,11399,161549
262,10262,France,turn_limit,312,123,107,0,15736,61587
263,10263,France,turn_limit,312,132,98,0,31192,18867
264,10264,France,turn_limit,312,136,94,0,4449,64532
265,10265,France,turn_limit,312,122,108,0,32063,162313
266,10266,Allies,turn_limit,312,111,119,0,23133,74152
267,10267,Allies,turn_limit,312,108,122,0,20380,80251
268,10268,Allies,turn_limit,312,113,117,0,42537,77950
269,10269,Allies,turn_limit,312,91,139,0,22836,149488
270,10270,Allies,turn_limit,312,102,128,0,22437,190071
271,10271,France,turn_limit,312,153,77,0,28620,90115
272,10272,France,turn_limit,312,135,95,0,18182,75028
273,10273,Allies,turn_limit,312,97,133,0,26516,102882
274,10274,France,turn_limit,312,165,65,0,36677,801
275,10275,France,allies_eliminated,261,143,87,0,38001,0
276,10276,Allies,turn_limit,312,94,136,0,4124,87877
277,10277,Allies,turn_limit,312,110,120,0,27341,127625
278,10278,Allies,turn_limit,312,93,137,0,29438,111124
279,10279,France,turn_limit,312,127,103,0,21601,120420
280,10280,France,turn_limit,312,127,103,0,16643,94556
281,10281,France,turn_limit,312,118,112,0,18452,92851
282,10282,France,turn_limit,312,141,89,0,51789,82036
283,10283,France,turn_limit,312,134,96,0,35259,65802
284,10284,Allies,turn_limit,312,81,149,0,49037,137445
285,10285,France,turn_limit,312,136,94,0,1731,75486
286,10286,Allies,turn_limit,312,91,139,0,14193,127009
287,10287,France,turn_limit,312,149,81,0,29495,64690
288,10288,Allies,turn_limit,312,104,126,0,9793,73977
289,10289,France,turn_limit,312,129,101,0,23894,102397
290,10290,Allies,turn_limit,312,111,119,0,10679,68181
291,10291,France,turn_limit,312,147,83,0,48563,7004
292,10292,Allies,turn_limit,312,100,130,0,21420,108865
293,10293,Allies,turn_limit,312,47,183,0,1320,163301
294,10294,France,turn_limit,312,126,104,0,17022,121315
295,10295,France,turn_limit,312,125,105,0,17241,90265
296,10296,France,turn_limit,312,150,80,0,36289,39609
297,10297,Allies,turn_limit,312,94,136,0,17220,101077
298,10298,Allies,turn_limit,312,94,136,0,11014,56600
299,10299,France,turn_limit,312,123,107,0,53660,25519
300,10300,Allies,turn_limit,312,88,142,0,36391,142163
301,10301,France,turn_limit,312,127,103,0,23614,85015
302,10302,Allies,turn_limit,312,101,129,0,40417,100556
303,10303,Allies,turn_limit,312,114,116,0,11028,97685
304,10304,Allies,turn_limit,312,103,127,0,14604,111086
305,10305,Allies,turn_limit,312,94,136,0,351,98296
306,10306,Allies,turn_limit,312,75,155,0,7139,153285
307,10307,France,turn_limit,312,122,108,0,8319,127737
308,10308,Allies,turn_limit,312,111,119,0,50018,102744
309,10309,Allies,turn_limit,312,93,137,0,27444,102558
310,10310,Allies,turn_limit,312,111,119,0,28581,67263
311,10311,France,turn_limit,312,150,80,0,54434,34881
312,10312,Allies,turn_limit,312,103,127,0,15726,97344
313,10313,Allies,turn_limit,312,102,128,0,4228,82579
314,10314,Allies,turn_limit,312,103,127,0,22861,157404
315,10315,France,turn_limit,312,121,109,0,9124,139014
316,10316,Allies,turn_limit,312,105,125,0,958,47029
317,10317,France,turn_limit,312,146,84,0,9150,60278
318,10318,Allies,turn_limit,312,79,151,0,4840,156589
319,10319,Allies,turn_limit,312,107,123,0,48620,141742
320,10320,France,turn_limit,312,124,106,0,22976,52984
321,10321,France,turn_limit,312,159,71,0,34224,30596
322,10322,France,turn_limit,312,133,97,0,4783,136538
323,10323,France,turn_limit,312,123,107,0,26474,75107
324,10324,Allies,turn_limit,312,89,141,0,34180,117132
325,10325,France,turn_limit,312,139,91,0,41255,37469
326,10326,Allies,turn_limit,312,101,129,0,12274,140821
327,10327,France,turn_limit,312,122,108,0,27409,50345
328,10328,Allies,turn_limit,312,95,135,0,24914,62332
329,10329,France,turn_limit,312,133,97,0,16345,59986
330,10330,France,turn_limit,312,160,70,0,2821,6621
331,10331,Allies,turn_limit,312,107,123,0,25085,82191
332,10332,Allies,turn_limit,312,114,116,0,21334,91355
333,10333,France,turn_limit,312,134,96,0,12024,68531
334,10334,France,turn_limit,312,150,80,0,22227,52800
335,10335,Allies,turn_limit,312,93,137,0,30415,63608
336,10336,France,turn_limit,312,131,99,0,14852,95567
337,10337,Allies,turn_limit,312,90,140,0,6729,139585
338,10338,France,turn_limit,312,151,79,0,15895,3918
339,10339,Allies,turn_limit,312,105,125,0,42135,74022
340,10340,France,turn_limit,312,129,101,0,19111,71975
341,10341,Allies,turn_limit,312,110,120,0,61774,36875
342,10342,France,turn_limit,312,124,106,0,26300,63027
343,10343,France,turn_limit,312,120,110,0,25594,97346
344,10344,Draw,turn_limit,312,115,115,0,5610,120868
345,10345,France,turn_limit,312,125,105,0,36277,86252
346,10346,France,turn_limit,312,134,96,0,7655,127537
347,10347,Allies,turn_limit,312,104,126,0,30955,50909
348,10348,France,turn_limit,312,133,97,0,11418,68980
349,10349,Allies,turn_limit,312,93,137,0,35163,107006
350,10350,France,turn_limit,312,141,89,0,26643,69667
351,10351,France,turn_limit,312,124,106,0,48200,70566
352,10352,France,turn_limit,312,123,107,0,23940,45327
353,10353,Allies,turn_limit,312,107,123,0,8843,70996
354,10354,France,turn_limit,312,142,88,0,14056,34539
355,10355,France,turn_limit,312,133,97,0,16016,166581
356,10356,France,turn_limit,312,148,82,0,19937,75789
357,10357,Allies,turn_limit,312,92,138,0,48190,146501
358,10358,France,turn_limit,312,133,97,0,28311,87799
359,10359,France,turn_limit,312,129,101,0,39405,44461
360,10360,France,turn_limit,312,126,104,0,22173,142771
361,10361,Allies,turn_limit,312,114,116,0,30604,79029
362,10362,Allies,turn_limit,312,109,121,0,3646,140500
363,10363,France,turn_limit,312,128,102,0,44347,12130
364,10364,France,turn_limit,312,168,62,0,49473,732
365,10365,Allies,turn_limit,312,107,123,0,14464,76247
366,10366,Allies,turn_limit,312,87,143,0,9882,137537
367,10367,France,turn_limit,312,128,102,0,12956,140959
368,10368,Allies,turn_limit,312,101,129,0,19139,72918
369,10369,France,turn_limit,312,129,101,0,33707,52657
370,10370,Allies,turn_limit,312,101,129,0,34187,159741
371,10371,Allies,turn_limit,312,100,130,0,26684,179996
372,10372,Allies,turn_limit,312,103,127,0,51050,91602
373,10373,France,turn_limit,312,137,93,0,19365,26460
374,10374,Allies,turn_limit,312,101,129,0,41034,65529
375,10375,France,turn_limit,312,122,108,0,24614,67691
376,10376,France,turn_limit,312,140,90,0,28819,3339
377,10377,Allies,turn_limit,312,86,144,0,17901,82979
378,10378,Allies,turn_limit,312,104,126,0,22124,142162
379,10379,Allies,turn_limit,312,86,144,0,27305,151367
380,10380,France,turn_limit,312,158,72,0,6266,29569
381,10381,Allies,turn_limit,312,97,133,0,21726,129844
382,10382,France,allies_eliminated,306,163,67,0,25801,0
383,10383,France,turn_limit,312,128,102,0,27359,72284
384,10384,Allies,turn_limit,312,88,142,0,28604,135156
385,10385,Allies,turn_limit,312,113,117,0,27230,88230
386,10386,Draw,turn_limit,312,115,115,0,23846,43557
387,10387,Allies,turn_limit,312,90,140,0,1536,173761
388,10388,Allies,turn_limit,312,102,128,0,4612,77336
389,10389,Allies,turn_limit,312,110,120,0,18352,77725
390,10390,Allies,turn_limit,312,98,132,0,32349,54782
391,10391,Allies,turn_limit,312,114,116,0,22122,98001
392,10392,Allies,turn_limit,312,102,128,0,13507,161990
393,10393,Allies,turn_limit,312,91,139,0,30492,79553
394,10394,France,turn_limit,312,121,109,0,16061,57730
395,10395,France,turn_limit,312,128,102,0,54470,78105
396,10396,France,turn_limit,312,136,94,0,14811,100882
397,10397,France,turn_limit,312,120,110,0,39405,85857
398,10398,France,turn_limit,312,163,67,0,37149,2168
399,10399,France,turn_limit,312,137,93,0,36314,79103
400,10400,France,turn_limit,312,126,104,0,23154,92526
401,10401,Allies,turn_limit,312,98,132,0,26169,109645
402,10402,Allies,turn_limit,312,59,171,0,438,135651
403,10403,Allies,turn_limit,312,68,162,0,9696,153203
404,10404,France,turn_limit,312,131,99,0,24846,64379
405,10405,Allies,turn_limit,312,96,134,0,22382,126416
406,10406,France,turn_limit,312,132,98,0,44564,38500
407,10407,Allies,turn_limit,312,104,126,0,29055,100136
408,10408,France,turn_limit,312,121,109,0,16267,30074
409,10409,Allies,turn_limit,312,111,119,0,28756,100697
410,10410,France,turn_limit,312,118,112,0,21001,60470
411,10411,Allies,turn_limit,312,97,133,0,32564,108410
412,10412,Allies,turn_limit,312,113,117,0,13442,125414
413,10413,Allies,turn_limit,312,84,146,0,27814,84332
414,10414,Allies,turn_limit,312,101,129,0,15968,57592
415,10415,France,turn_limit,312,137,93,0,33181,61641
416,10416,Allies,turn_limit,312,104,126,0,14960,159335
417,10417,France,turn_limit,312,147,83,0,40392,50009
418,10418,Allies,turn_limit,312,114,116,0,21417,84278
419,10419,Allies,turn_limit,312,99,131,0,15224,113991
420,10420,Allies,turn_limit,312,93,137,0,24195,172080
421,10421,France,turn_limit,312,126,104,0,8402,120057
422,10422,France,turn_limit,312,119,111,0,12973,131252
423,10423,Allies,turn_limit,312,111,119,0,18582,99873
424,10424,France,turn_limit,312,139,91,0,17279,57579
425,10425,France,turn_limit,312,144,86,0,29102,24882
426,10426,France,turn_limit,312,126,104,0,12894,155665
427,10427,Allies,turn_limit,312,76,154,0,2560,77313
428,10428,Allies,turn_limit,312,86,144,0,37827,148553
429,10429,Allies,turn_limit,312,89,141,0,3192,157329
430,10430,Allies,turn_limit,312,101,129,0,22211,140807
431,10431,Allies,turn_limit,312,101,129,0,2966,89767
432,10432,Allies,turn_limit,312,57,173,0,148,118312
433,10433,France,turn_limit,312,117,113,0,15428,91852
434,10434,Allies,turn_limit,312,97,133,0,18935,171161
435,10435,Allies,turn_limit,312,107,123,0,36583,150834
436,10436,France,turn_limit,312,120,110,0,20489,38967
437,10437,Allies,turn_limit,312,89,141,0,17553,142984
438,10438,France,turn_limit,312,123,107,0,67079,100712
439,10439,Allies,turn_limit,312,99,131,0,3618,132088
440,10440,Allies,turn_limit,312,102,128,0,10506,94683
441,10441,France,turn_limit,312,125,105,0,29172,78164
442,10442,Allies,turn_limit,312,84,146,0,41135,147751
443,10443,Allies,turn_limit,312,111,119,0,11469,48492
444,10444,France,turn_limit,312,116,114,0,18848,75916
445,10445,France,turn_limit,312,153,77,0,50424,934
446,10446,Allies,turn_limit,312,99,131,0,10429,53850
447,10447,Allies,turn_limit,312,104,126,0,11670,151822
448,10448,Allies,turn_limit,312,73,157,0,40200,162587
449,10449,France,turn_limit,312,125,105,0,11838,151198
450,10450,France,turn_limit,312,157,73,0,14533,75055
451,10451,France,turn_limit,312,122,108,0,13858,80345
452,10452,France,turn_limit,312,131,99,0,28703,57813
453,10453,France,turn_limit,312,132,98,0,18990,67625
454,10454,Allies,turn_limit,312,108,122,0,37733,54137
455,10455,France,turn_limit,312,118,112,0,18221,98126
456,10456,France,turn_limit,312,127,103,0,38135,60856
457,10457,France,turn_limit,312,146,84,0,73793,57105
458,10458,France,turn_limit,312,131,99,0,33597,83701
459,10459,France,turn_limit,312,130,100,0,26645,51956
460,10460,Allies,turn_limit,312,95,135,0,3237,114967
461,10461,France,turn_limit,312,135,95,0,42523,113906
462,10462,France,turn_limit,312,122,108,0,11554,91210
463,10463,Allies,turn_limit,312,108,122,0,16593,67355
464,10464,Allies,turn_limit,312,65,165,0,14620,166975
465,10465,France,turn_limit,312,123,107,0,45607,97857
466,10466,Allies,turn_limit,312,88,142,0,9724,180067
467,10467,Allies,turn_limit,312,101,129,0,19420,87220
468,10468,France,turn_limit,312,150,80,0,33949,6513
469,10469,Draw,turn_limit,312,115,115,0,23045,154871
470,10470,Allies,turn_limit,312,112,118,0,7866,104049
471,10471,France,turn_limit,312,118,112,0,25500,114630
472,10472,Allies,turn_limit,312,107,123,0,32948,155926
473,10473,Allies,turn_limit,312,114,116,0,47519,24892
474,10474,France,turn_limit,312,140,90,0,34274,59938
475,10475,Allies,turn_limit,312,114,116,0,30267,64606
476,10476,France,turn_limit,312,141,89,0,20105,29299
477,10477,France,turn_limit,312,124,106,0,15458,46994
478,10478,France,turn_limit,312,138,92,0,22025,62695
479,10479,France,turn_limit,312,142,88,0,2534,108179
480,10480,France,turn_limit,312,151,79,0,44910,35247
481,10481,Allies,turn_limit,312,98,132,0,35538,130064
482,10482,Allies,turn_limit,312,111,119,0,29475,45724
483,10483,Allies,turn_limit,312,98,132,0,16244,56393
484,10484,France,turn_limit,312,144,86,0,21888,32149
485,10485,Allies,turn_limit,312,111,119,0,42486,106529
486,10486,France,turn_limit,312,130,100,0,5701,121821
487,10487,France,turn_limit,312,123,107,0,19279,97754
488,10488,Allies,turn_limit,312,89,141,0,26128,164097
489,10489,Allies,turn_limit,312,91,139,0,14716,166516
490,10490,France,turn_limit,312,119,111,0,7704,79581
491,10491,Allies,turn_limit,312,108,122,0,28888,151707
492,10492,France,turn_limit,312,121,109,0,28868,118051
493,10493,France,turn_limit,312,133,97,0,47692,43659
494,10494,France,turn_limit,312,137,93,0,19591,48552
495,10495,Draw,turn_limit,312,115,115,0,19470,66957
